titulo,precio,provincia,lugar,num_dormitorios,num_banos,area,num_garages,tipo_precio_lugar
LOCAL U OFICINA EN EL EDIFICIO WORL TRADE CENTER,590,Pichincha,"pichincha, edificio world trade center, avenue 12 de octubre, quito, ecuador",3,2,75.0,1,Económico
DEPARTAMENTO DE ARRIENDO GONZALEZ SUAREZ,750,Pichincha,"pichincha, gonzalez suarez, quito, ecuador",4,4,200.0,1,Lujo
DEPARTAMENTO DE ARRIENDO EN COTOCOLLAO,300,Pichincha,"pichincha, cotocollao, quito, ecuador",3,2,120.0,1,Medio
SUITE DE ARRIENDO AMOBLADA,450,Pichincha,"pichincha, avenida republica del salvador, quito, ecuador",1,1,65.0,1,Económico
Arriendo departamento en el centro de Babahoyo,220,Los Rios,"los rios, calle 18 de mayo, babahoyo, ecuador",2,1,87.0,1,Económico
Departamento a estrenar en el centro de Babahoyo,240,Los Rios,"los rios, calle 18 de mayo, babahoyo, ecuador",2,1,90.0,1,Medio
ALQUILER DEPARTAMENTO CENTRO BABAHOYO,240,Los Rios,"los rios, calle 18 de mayo, babahoyo, ecuador",2,1,90.0,1,Medio
ARRIENDO CASA EN CUMBAYA COLEGIO MENOR,2600,Pichincha,"pichincha, cumbaya, quito, ecuador",4,4,470.0,6,Lujo
HERMOSA SUITE CON BALCÓN EN LA 12 DE OCTUBRE,550,Pichincha,"pichincha, av. 12 de octubre, quito, ecuador",1,1,87.0,1,Medio
HERMOSA SUITE FULL AMOBLADA EN LA GONZALEZ SUAREZ,500,Pichincha,"pichincha, gonzalez suarez, quito, ecuador",1,1,110.0,1,Medio
PISO EN RENTA PARA PEQUEÑA INDUSTRIA CHILLOGALLO,400,Pichincha,"pichincha, chillogallo, quito, ecuador",3,2,215.0,1,Lujo
"Departamento Dúplex de 3 dormitorios en conjunto residencial Sironi, Cumbayá",950,Pichincha,"pichincha, av. interoceanica 1/2, cumbaya, quito, ecuador",3,3,222.0,2,Medio
HERMOSA SUITE FULL AMOBLADA EN LA FLORESTA,430,Pichincha,"pichincha, la floresta, quito, ecuador",1,1,15.0,1,Medio
"ACOJEDOR DEPARTAMENTO AMOBLADO EN ALQUILER KENNEDY AV. SAN JORGE, 4 DORMITORIOS",610,Guayas,"guayas, kennedy, guayaquil, ecuador",4,4,205.0,1,Medio
ARRIENDO AMAZONAS CON VISTA AL PARQUE DE LA CAROLINA,500,Pichincha,"pichincha, av. rio amazonas, quito, ecuador",3,3,140.0,1,Medio
Se Renta Excelente Oficina en el en Edificio Corporativo ZYRA,800,Pichincha,"pichincha, avenida portugal, quito, ecuador",1,1,91.0,1,Lujo
"Villa En El Sur De Guayaquil, Ciudadela Del IESS, Atrás Del Hospital Teodoro Maldonado.",350,Guayas,"guayas, ciudadela del periodista, guayaquil, ecuador",3,1,91.0,1,Medio
En Renta oficina en el edificio World Trade Center,750,Pichincha,"pichincha, edificio world trade center, avenue 12 de octubre, quito, ecuador",3,2,65.0,1,Lujo
DEPARTAMENTO EN ARRIENDO CIUDADELA LA SAIBA,550,Guayas,"guayas, ciudadela saiba, guayaquil, ecuador",3,2,120.0,1,Lujo
DEPARTAMENTO DE ARRIENDO SECTOR GRANDA CENTENO,500,Pichincha,"pichincha, granda centeno, quito, ecuador",2,1,142.0,2,Medio
RENTO DEPARTAMENTO GRANDE SECTOR LA GASCA,330,Pichincha,"pichincha, la gasca, quito, ecuador",3,2,116.0,1,Económico
En Renta Lujosa Suite ubicada en el hotel MARRIOTT,1700,Pichincha,"pichincha, hotel marriott quito, avenida francisco de orellana, quito, ecuador",2,2,92.0,1,Medio
